File,Address,Hop,IP,Average Time
2024-04-25_00.txt,www.invest.gov.tr,1,139.222.0.1,2.06
2024-04-25_00.txt,www.invest.gov.tr,2,10.0.0.1,5.89
2024-04-25_00.txt,www.invest.gov.tr,3,193.62.92.126,1.31
2024-04-25_00.txt,www.invest.gov.tr,4,10.11.2.2,1.77
2024-04-25_00.txt,www.invest.gov.tr,5,146.97.130.237,5.86
2024-04-25_00.txt,www.invest.gov.tr,6,146.97.35.217,5.9
2024-04-25_00.txt,www.invest.gov.tr,7,146.97.33.5,6.26
2024-04-25_00.txt,www.invest.gov.tr,8,146.97.33.22,14.84
2024-04-25_00.txt,www.invest.gov.tr,9,146.97.33.42,24.61
2024-04-25_00.txt,www.invest.gov.tr,10,146.97.35.190,12.58
2024-04-25_00.txt,www.invest.gov.tr,11,162.158.32.34,13.77
2024-04-25_00.txt,www.invest.gov.tr,12,162.158.32.45,12.3
2024-04-25_00.txt,www.invest.gov.tr,13,172.67.171.208,11.94
2024-04-25_02.txt,www.theaustralian.com.au,1,139.222.0.1,1.22
2024-04-25_02.txt,www.theaustralian.com.au,2,10.0.0.1,13.77
2024-04-25_02.txt,www.theaustralian.com.au,3,193.62.92.126,0.99
2024-04-25_02.txt,www.theaustralian.com.au,4,10.11.2.2,1.13
2024-04-25_02.txt,www.theaustralian.com.au,5,146.97.130.237,5.46
2024-04-25_02.txt,www.theaustralian.com.au,6,146.97.35.217,6.99
2024-04-25_02.txt,www.theaustralian.com.au,7,146.97.33.5,6.01
2024-04-25_02.txt,www.theaustralian.com.au,8,146.97.33.1,6.77
2024-04-25_02.txt,www.theaustralian.com.au,9,146.97.35.198,6.6
2024-04-25_02.txt,www.fmprc.gov.cn,1,139.222.0.1,1.46
2024-04-25_02.txt,www.fmprc.gov.cn,2,10.0.0.1,7.82
2024-04-25_02.txt,www.fmprc.gov.cn,3,193.62.92.126,0.76
2024-04-25_02.txt,www.fmprc.gov.cn,4,10.11.2.2,1.4
2024-04-25_02.txt,www.fmprc.gov.cn,5,146.97.130.237,5.79
2024-04-25_02.txt,www.fmprc.gov.cn,6,146.97.35.217,5.61
2024-04-25_02.txt,www.fmprc.gov.cn,7,146.97.33.61,6.3
2024-04-25_02.txt,www.fmprc.gov.cn,8,146.97.35.194,5.76
2024-04-25_02.txt,www.fmprc.gov.cn,10,62.115.138.168,7.16
2024-04-25_02.txt,www.fmprc.gov.cn,11,62.115.120.239,6.29
2024-04-25_02.txt,www.fmprc.gov.cn,12,62.115.161.119,6.8
2024-04-25_02.txt,www.iisc.ac.in,1,139.222.0.1,1.4
2024-04-25_02.txt,www.iisc.ac.in,2,10.0.0.1,15.59
2024-04-25_02.txt,www.iisc.ac.in,3,193.62.92.126,1.77
2024-04-25_02.txt,www.iisc.ac.in,4,10.11.2.2,1.66
2024-04-25_02.txt,www.iisc.ac.in,5,146.97.130.237,5.74
2024-04-25_02.txt,www.iisc.ac.in,6,146.97.35.217,6.1
2024-04-25_02.txt,www.iisc.ac.in,7,146.97.33.61,5.96
2024-04-25_02.txt,www.iisc.ac.in,8,146.97.35.194,5.8
2024-04-25_02.txt,www.iisc.ac.in,9,104.44.37.109,26.29
2024-04-25_02.txt,www.iisc.ac.in,10,51.10.1.244,15.98
2024-04-25_02.txt,www.iisc.ac.in,11,104.44.32.12,149.83
2024-04-25_02.txt,www.iisc.ac.in,13,104.44.29.169,150.19
2024-04-25_02.txt,www.iisc.ac.in,15,104.44.18.193,179.43
2024-04-25_02.txt,www.iisc.ac.in,16,104.44.19.29,170.31
2024-04-25_02.txt,www.iisc.ac.in,17,104.44.19.217,209.34
2024-04-25_02.txt,www.iisc.ac.in,18,104.44.30.30,149.5
2024-04-25_02.txt,www.iisc.ac.in,19,104.44.11.254,171.85
2024-04-25_02.txt,www.government.ru,1,139.222.0.1,1.13
2024-04-25_02.txt,www.government.ru,2,10.0.0.1,6.87
2024-04-25_02.txt,www.government.ru,3,193.62.92.126,0.73
2024-04-25_02.txt,www.government.ru,4,10.11.2.2,0.93
2024-04-25_02.txt,www.government.ru,5,146.97.130.237,5.68
2024-04-25_02.txt,www.government.ru,6,146.97.35.217,5.71
2024-04-25_02.txt,www.government.ru,7,146.97.33.61,5.5
2024-04-25_02.txt,www.government.ru,8,146.97.35.194,5.57
2024-04-25_02.txt,www.government.ru,10,62.115.138.168,6.99
2024-04-25_02.txt,www.government.ru,11,62.115.122.160,18.68
2024-04-25_02.txt,www.government.ru,12,62.115.134.95,34.96
2024-04-25_02.txt,www.government.ru,13,62.115.139.181,34.8
2024-04-25_02.txt,www.government.ru,14,213.155.129.47,33.85
2024-04-25_02.txt,www.government.ru,15,185.140.151.249,52.25
2024-04-25_02.txt,www.government.ru,16,188.128.72.2,55.24
2024-04-25_02.txt,www.government.ru,17,95.173.133.147,50.03
2024-04-25_02.txt,www.dw.com,1,139.222.0.1,1.65
2024-04-25_02.txt,www.dw.com,2,10.0.0.1,6.98
2024-04-25_02.txt,www.dw.com,3,193.62.92.126,1.18
2024-04-25_02.txt,www.dw.com,4,10.11.2.2,1.2
2024-04-25_02.txt,www.dw.com,5,146.97.130.237,5.5
2024-04-25_02.txt,www.dw.com,6,146.97.35.217,15.52
2024-04-25_02.txt,www.dw.com,7,146.97.33.5,6.25
2024-04-25_02.txt,www.dw.com,8,146.97.33.1,6.67
2024-04-25_02.txt,www.dw.com,9,146.97.35.198,6.53
2024-04-25_02.txt,www.gov.za,1,139.222.0.1,1.14
2024-04-25_02.txt,www.gov.za,2,10.0.0.1,8.42
2024-04-25_02.txt,www.gov.za,3,193.62.92.126,0.69
2024-04-25_02.txt,www.gov.za,4,10.11.2.2,1.07
2024-04-25_02.txt,www.gov.za,5,146.97.130.237,5.66
2024-04-25_02.txt,www.gov.za,6,146.97.35.217,6.21
2024-04-25_02.txt,www.gov.za,7,146.97.33.61,18.35
2024-04-25_02.txt,www.gov.za,8,146.97.35.194,5.86
2024-04-25_02.txt,www.gov.za,9,62.115.175.106,5.71
2024-04-25_02.txt,www.gov.za,10,62.115.138.168,7.26
2024-04-25_02.txt,www.gov.za,11,62.115.120.75,6.17
2024-04-25_02.txt,www.gov.za,15,168.209.1.200,167.53
2024-04-25_02.txt,www.gov.za,16,168.209.129.144,173.04
2024-04-25_02.txt,www.gov.za,17,168.209.90.7,169.69
2024-04-25_02.txt,www.gov.za,18,168.209.131.135,173.49
2024-04-25_02.txt,www.gov.za,19,197.97.72.54,169.09
2024-04-25_02.txt,www.canada.ca,1,139.222.0.1,2.05
2024-04-25_02.txt,www.canada.ca,3,193.62.92.126,1.25
2024-04-25_02.txt,www.canada.ca,4,10.11.2.2,1.37
2024-04-25_02.txt,www.canada.ca,5,146.97.130.237,6.15
2024-04-25_02.txt,www.canada.ca,6,146.97.35.217,5.7
2024-04-25_02.txt,www.canada.ca,7,146.97.33.5,6.25
2024-04-25_02.txt,www.canada.ca,8,146.97.33.1,6.72
2024-04-25_02.txt,www.canada.ca,9,146.97.35.198,6.49
2024-04-25_02.txt,www.gov.scot,1,139.222.0.1,1.35
2024-04-25_02.txt,www.gov.scot,2,10.0.0.1,6.73
2024-04-25_02.txt,www.gov.scot,3,193.62.92.126,0.71
2024-04-25_02.txt,www.gov.scot,4,10.11.2.2,0.91
2024-04-25_02.txt,www.gov.scot,5,146.97.130.237,22.42
2024-04-25_02.txt,www.gov.scot,6,146.97.35.217,5.75
2024-04-25_02.txt,www.gov.scot,7,146.97.35.182,6.56
2024-04-25_02.txt,www.gov.scot,8,99.82.180.146,19.76
2024-04-25_02.txt,www.gov.scot,12,52.94.35.137,7.79
2024-04-25_02.txt,www.gov.scot,18,143.204.194.66,7.25
2024-04-25_02.txt,www.japan.go.jp,1,139.222.0.1,1.15
2024-04-25_02.txt,www.japan.go.jp,2,10.0.0.1,10.87
2024-04-25_02.txt,www.japan.go.jp,3,193.62.92.126,0.69
2024-04-25_02.txt,www.japan.go.jp,4,10.11.2.2,1.3
2024-04-25_02.txt,www.japan.go.jp,5,146.97.130.237,5.44
2024-04-25_02.txt,www.japan.go.jp,6,146.97.35.217,5.48
2024-04-25_02.txt,www.japan.go.jp,7,146.97.35.182,6.55
2024-04-25_02.txt,www.japan.go.jp,8,99.82.180.146,6.86
2024-04-25_02.txt,www.wa.gov,1,139.222.0.1,1.85
2024-04-25_02.txt,www.wa.gov,2,10.0.0.1,13.06
2024-04-25_02.txt,www.wa.gov,3,193.62.92.126,0.72
2024-04-25_02.txt,www.wa.gov,4,10.11.2.2,0.97
2024-04-25_02.txt,www.wa.gov,5,146.97.130.237,5.54
2024-04-25_02.txt,www.wa.gov,6,146.97.35.217,6.51
2024-04-25_02.txt,www.wa.gov,7,146.97.33.61,6.38
2024-04-25_02.txt,www.wa.gov,8,146.97.35.18,5.64
2024-04-25_02.txt,www5.usp.br,1,139.222.0.1,72.7
2024-04-25_02.txt,www5.usp.br,2,10.0.0.1,7.64
2024-04-25_02.txt,www5.usp.br,3,193.62.92.126,1.21
2024-04-25_02.txt,www5.usp.br,4,10.11.2.2,3.75
2024-04-25_02.txt,www5.usp.br,5,146.97.130.237,24.13
2024-04-25_02.txt,www5.usp.br,6,146.97.35.217,5.79
2024-04-25_02.txt,www5.usp.br,7,146.97.33.5,6.37
2024-04-25_02.txt,www5.usp.br,8,146.97.33.1,6.8
2024-04-25_02.txt,www5.usp.br,9,62.40.124.197,6.85
2024-04-25_02.txt,www5.usp.br,10,62.40.124.45,92.15
2024-04-25_02.txt,www5.usp.br,11,163.253.1.120,111.76
2024-04-25_02.txt,www5.usp.br,12,163.253.1.135,112.08
2024-04-25_02.txt,www5.usp.br,13,163.253.1.102,111.37
2024-04-25_02.txt,www5.usp.br,14,163.253.2.33,110.99
2024-04-25_02.txt,www5.usp.br,15,198.71.45.189,121.6
2024-04-25_02.txt,www5.usp.br,16,170.39.8.47,226.33
2024-04-25_02.txt,www5.usp.br,17,200.219.201.89,205.46
2024-04-25_02.txt,www5.usp.br,18,200.155.72.40,206.08
2024-04-25_02.txt,www5.usp.br,19,177.126.190.36,205.71
2024-04-25_02.txt,www5.usp.br,23,187.16.220.3,226.86
2024-04-25_02.txt,www5.usp.br,24,143.107.249.38,228.07
2024-04-25_02.txt,www.ada.org,1,139.222.0.1,2.46
2024-04-25_02.txt,www.ada.org,2,10.0.0.1,6.83
2024-04-25_02.txt,www.ada.org,3,193.62.92.126,0.79
2024-04-25_02.txt,www.ada.org,4,10.11.2.2,0.96
2024-04-25_02.txt,www.ada.org,5,146.97.130.237,5.66
2024-04-25_02.txt,www.ada.org,6,146.97.35.217,5.87
2024-04-25_02.txt,www.ada.org,7,146.97.33.61,5.47
2024-04-25_02.txt,www.ada.org,8,146.97.35.194,6.21
2024-04-25_02.txt,www.ada.org,9,104.44.37.109,6.63
2024-04-25_02.txt,www.ada.org,10,104.44.230.146,6.28
2024-04-25_02.txt,www.ada.org,11,104.44.32.10,105.94
2024-04-25_02.txt,www.ada.org,12,104.44.17.133,101.16
2024-04-25_02.txt,www.ada.org,13,104.44.28.177,99.58
2024-04-25_02.txt,www.ada.org,15,104.44.17.5,100.05
2024-04-25_02.txt,www.ada.org,16,104.44.18.208,113.16
2024-04-25_02.txt,www.ada.org,17,104.44.19.145,104.19
2024-04-25_02.txt,www.ada.org,18,104.44.7.176,120.08
2024-04-25_02.txt,www.ada.org,19,104.44.29.39,122.4
2024-04-25_02.txt,www.ada.org,22,104.44.17.34,120.02
2024-04-25_02.txt,www.president.pl,1,139.222.0.1,1.06
2024-04-25_02.txt,www.president.pl,2,10.0.0.1,8.23
2024-04-25_02.txt,www.president.pl,3,193.62.92.126,0.69
2024-04-25_02.txt,www.president.pl,4,10.11.2.2,1.15
2024-04-25_02.txt,www.president.pl,5,146.97.130.237,5.54
2024-04-25_02.txt,www.president.pl,6,146.97.35.217,5.64
2024-04-25_02.txt,www.president.pl,7,146.97.33.5,6.14
2024-04-25_02.txt,www.president.pl,8,146.97.33.22,9.93
2024-04-25_02.txt,www.president.pl,9,146.97.33.42,11.63
2024-04-25_02.txt,www.president.pl,10,146.97.35.190,11.8
2024-04-25_02.txt,www.president.pl,11,162.158.32.34,12.56
2024-04-25_02.txt,www.president.pl,12,162.158.32.45,11.98
2024-04-25_02.txt,www.president.pl,13,104.26.10.136,12.02
2024-04-25_03.txt,www.invest.gov.tr,1,139.222.0.1,2.6
2024-04-25_03.txt,www.invest.gov.tr,2,10.0.0.1,12.13
2024-04-25_03.txt,www.invest.gov.tr,3,193.62.92.126,2.03
2024-04-25_03.txt,www.invest.gov.tr,4,10.11.2.2,1.96
2024-04-25_03.txt,www.invest.gov.tr,5,146.97.130.237,6.62
2024-04-25_03.txt,www.invest.gov.tr,6,146.97.35.217,6.07
2024-04-25_03.txt,www.invest.gov.tr,7,146.97.33.5,6.37
2024-04-25_03.txt,www.invest.gov.tr,8,146.97.33.22,10.28
2024-04-25_03.txt,www.invest.gov.tr,9,146.97.33.42,12.12
2024-04-25_03.txt,www.invest.gov.tr,10,146.97.35.190,11.89
2024-04-25_03.txt,www.invest.gov.tr,11,162.158.32.34,13.24
2024-04-25_03.txt,www.invest.gov.tr,12,162.158.32.45,12.16
2024-04-25_03.txt,www.invest.gov.tr,13,104.21.47.186,11.7
2024-04-25_09.txt,www.theaustralian.com.au,1,139.222.0.1,4.19
2024-04-25_09.txt,www.theaustralian.com.au,2,10.0.0.1,7.11
2024-04-25_09.txt,www.theaustralian.com.au,3,193.62.92.126,1.1
2024-04-25_09.txt,www.theaustralian.com.au,4,10.11.2.2,1.0
2024-04-25_09.txt,www.theaustralian.com.au,5,146.97.130.237,5.4
2024-04-25_09.txt,www.theaustralian.com.au,6,146.97.35.217,5.94
2024-04-25_09.txt,www.theaustralian.com.au,7,146.97.33.5,6.38
2024-04-25_09.txt,www.theaustralian.com.au,8,146.97.33.1,6.73
2024-04-25_09.txt,www.theaustralian.com.au,9,146.97.35.198,6.67
2024-04-25_09.txt,www.fmprc.gov.cn,1,139.222.0.1,1.99
2024-04-25_09.txt,www.fmprc.gov.cn,2,10.0.0.1,7.29
2024-04-25_09.txt,www.fmprc.gov.cn,3,193.62.92.126,1.14
2024-04-25_09.txt,www.fmprc.gov.cn,4,10.11.2.2,1.15
2024-04-25_09.txt,www.fmprc.gov.cn,5,146.97.130.237,5.54
2024-04-25_09.txt,www.fmprc.gov.cn,6,146.97.35.217,5.68
2024-04-25_09.txt,www.fmprc.gov.cn,7,146.97.33.61,6.73
2024-04-25_09.txt,www.fmprc.gov.cn,8,146.97.35.194,5.68
2024-04-25_09.txt,www.fmprc.gov.cn,11,62.115.120.239,6.26
2024-04-25_09.txt,www.fmprc.gov.cn,12,62.115.161.119,6.36
2024-04-25_09.txt,www.iisc.ac.in,1,139.222.0.1,1.1
2024-04-25_09.txt,www.iisc.ac.in,2,10.0.0.1,8.09
2024-04-25_09.txt,www.iisc.ac.in,3,193.62.92.126,0.93
2024-04-25_09.txt,www.iisc.ac.in,4,10.11.2.2,0.98
2024-04-25_09.txt,www.iisc.ac.in,5,146.97.130.237,6.74
2024-04-25_09.txt,www.iisc.ac.in,6,146.97.35.217,12.91
2024-04-25_09.txt,www.iisc.ac.in,7,146.97.33.61,5.51
2024-04-25_09.txt,www.iisc.ac.in,8,146.97.35.194,5.5
2024-04-25_09.txt,www.iisc.ac.in,9,104.44.37.109,10.47
2024-04-25_09.txt,www.iisc.ac.in,10,51.10.6.150,6.09
2024-04-25_09.txt,www.iisc.ac.in,11,104.44.32.10,174.71
2024-04-25_09.txt,www.iisc.ac.in,12,104.44.7.50,212.91
2024-04-25_09.txt,www.iisc.ac.in,13,104.44.31.96,204.73
2024-04-25_09.txt,www.iisc.ac.in,15,104.44.28.38,210.88
2024-04-25_09.txt,www.iisc.ac.in,16,104.44.19.131,313.15
2024-04-25_09.txt,www.iisc.ac.in,17,104.44.16.102,189.58
2024-04-25_09.txt,www.iisc.ac.in,18,104.44.22.22,197.1
2024-04-25_09.txt,www.iisc.ac.in,20,104.44.11.224,175.07
2024-04-25_09.txt,www.government.ru,1,139.222.0.1,3.1
2024-04-25_09.txt,www.government.ru,2,10.0.0.1,15.6
2024-04-25_09.txt,www.government.ru,3,193.62.92.126,2.73
2024-04-25_09.txt,www.government.ru,4,10.11.2.2,3.01
2024-04-25_09.txt,www.government.ru,5,146.97.130.237,7.45
2024-04-25_09.txt,www.government.ru,6,146.97.35.217,7.77
2024-04-25_09.txt,www.government.ru,7,146.97.33.61,5.72
2024-04-25_09.txt,www.government.ru,8,146.97.35.194,5.66
2024-04-25_09.txt,www.government.ru,9,62.115.175.106,5.54
2024-04-25_09.txt,www.government.ru,10,62.115.138.168,7.14
2024-04-25_09.txt,www.government.ru,11,80.91.249.11,19.25
2024-04-25_09.txt,www.government.ru,12,62.115.127.23,29.51
2024-04-25_09.txt,www.government.ru,13,62.115.139.181,35.46
2024-04-25_09.txt,www.government.ru,14,213.155.129.47,33.89
2024-04-25_09.txt,www.government.ru,15,185.140.151.249,51.01
2024-04-25_09.txt,www.government.ru,16,188.128.72.2,52.99
2024-04-25_09.txt,www.government.ru,17,95.173.133.147,49.35
2024-04-25_09.txt,www.dw.com,1,139.222.0.1,4.47
2024-04-25_09.txt,www.dw.com,2,10.0.0.1,6.82
2024-04-25_09.txt,www.dw.com,3,193.62.92.126,0.65
2024-04-25_09.txt,www.dw.com,4,10.11.2.2,0.92
2024-04-25_09.txt,www.dw.com,5,146.97.130.237,5.64
2024-04-25_09.txt,www.dw.com,6,146.97.35.217,5.65
2024-04-25_09.txt,www.dw.com,7,146.97.33.5,6.28
2024-04-25_09.txt,www.dw.com,8,146.97.33.1,6.78
2024-04-25_09.txt,www.dw.com,9,146.97.35.198,6.66
2024-04-25_09.txt,www.gov.za,1,139.222.0.1,1.07
2024-04-25_09.txt,www.gov.za,2,10.0.0.1,7.57
2024-04-25_09.txt,www.gov.za,3,193.62.92.126,0.66
2024-04-25_09.txt,www.gov.za,4,10.11.2.2,0.86
2024-04-25_09.txt,www.gov.za,5,146.97.130.237,5.46
2024-04-25_09.txt,www.gov.za,6,146.97.35.217,6.05
2024-04-25_09.txt,www.gov.za,7,146.97.33.61,8.78
2024-04-25_09.txt,www.gov.za,8,146.97.35.194,5.63
2024-04-25_09.txt,www.gov.za,9,62.115.175.106,5.43
2024-04-25_09.txt,www.gov.za,10,62.115.138.168,7.34
2024-04-25_09.txt,www.gov.za,11,62.115.122.181,6.24
2024-04-25_09.txt,www.gov.za,15,168.209.1.201,172.92
2024-04-25_09.txt,www.gov.za,16,168.209.129.146,172.96
2024-04-25_09.txt,www.gov.za,17,168.209.90.7,173.13
2024-04-25_09.txt,www.gov.za,18,168.209.131.135,173.13
2024-04-25_09.txt,www.gov.za,19,197.97.72.54,172.65
2024-04-25_09.txt,www.canada.ca,1,139.222.0.1,1.21
2024-04-25_09.txt,www.canada.ca,2,10.0.0.1,6.68
2024-04-25_09.txt,www.canada.ca,3,193.62.92.126,0.65
2024-04-25_09.txt,www.canada.ca,4,10.11.2.2,0.89
2024-04-25_09.txt,www.canada.ca,5,146.97.130.237,5.49
2024-04-25_09.txt,www.canada.ca,6,146.97.35.217,5.49
2024-04-25_09.txt,www.canada.ca,7,146.97.33.5,7.15
2024-04-25_09.txt,www.canada.ca,8,146.97.33.1,6.84
2024-04-25_09.txt,www.canada.ca,9,146.97.35.198,6.73
2024-04-25_09.txt,www.gov.scot,1,139.222.0.1,1.15
2024-04-25_09.txt,www.gov.scot,2,10.0.0.1,6.92
2024-04-25_09.txt,www.gov.scot,3,193.62.92.126,0.98
2024-04-25_09.txt,www.gov.scot,4,10.11.2.2,1.21
2024-04-25_09.txt,www.gov.scot,5,146.97.130.237,5.45
2024-04-25_09.txt,www.gov.scot,6,146.97.35.217,5.95
2024-04-25_09.txt,www.gov.scot,7,146.97.35.182,6.58
2024-04-25_09.txt,www.gov.scot,8,99.82.180.146,23.56
2024-04-25_09.txt,www.gov.scot,12,52.94.35.135,8.75
2024-04-25_09.txt,www.gov.scot,18,143.204.194.39,7.34
2024-04-25_09.txt,www.japan.go.jp,1,139.222.0.1,1.09
2024-04-25_09.txt,www.japan.go.jp,3,193.62.92.126,0.73
2024-04-25_09.txt,www.japan.go.jp,4,10.11.2.2,1.02
2024-04-25_09.txt,www.japan.go.jp,5,146.97.130.237,5.74
2024-04-25_09.txt,www.japan.go.jp,6,146.97.35.217,5.71
2024-04-25_09.txt,www.japan.go.jp,7,146.97.35.182,9.29
2024-04-25_09.txt,www.japan.go.jp,8,99.82.180.146,8.13
2024-04-25_09.txt,www.wa.gov,1,139.222.0.1,1.29
2024-04-25_09.txt,www.wa.gov,3,193.62.92.126,0.94
2024-04-25_09.txt,www.wa.gov,4,10.11.2.2,2.9
2024-04-25_09.txt,www.wa.gov,5,146.97.130.237,5.78
2024-04-25_09.txt,www.wa.gov,6,146.97.35.217,7.85
2024-04-25_09.txt,www.wa.gov,7,146.97.33.61,5.68
2024-04-25_09.txt,www.wa.gov,8,146.97.35.18,6.09
2024-04-25_09.txt,www5.usp.br,1,139.222.0.1,1.49
2024-04-25_09.txt,www5.usp.br,2,10.0.0.1,8.56
2024-04-25_09.txt,www5.usp.br,3,193.62.92.126,0.8
2024-04-25_09.txt,www5.usp.br,4,10.11.2.2,1.03
2024-04-25_09.txt,www5.usp.br,5,146.97.130.237,5.5
2024-04-25_09.txt,www5.usp.br,6,146.97.35.217,7.31
2024-04-25_09.txt,www5.usp.br,7,146.97.33.5,8.06
2024-04-25_09.txt,www5.usp.br,8,146.97.33.1,7.9
2024-04-25_09.txt,www5.usp.br,9,62.40.124.197,7.19
2024-04-25_09.txt,www5.usp.br,10,62.40.124.45,92.65
2024-04-25_09.txt,www5.usp.br,11,163.253.1.120,111.96
2024-04-25_09.txt,www5.usp.br,12,163.253.1.135,111.24
2024-04-25_09.txt,www5.usp.br,13,163.253.1.104,111.89
2024-04-25_09.txt,www5.usp.br,14,163.253.2.33,111.38
2024-04-25_09.txt,www5.usp.br,15,198.71.45.189,121.61
2024-04-25_09.txt,www5.usp.br,16,170.39.8.47,226.23
2024-04-25_09.txt,www5.usp.br,17,200.219.201.89,205.63
2024-04-25_09.txt,www5.usp.br,18,200.155.72.40,205.94
2024-04-25_09.txt,www5.usp.br,19,177.126.190.36,205.6
2024-04-25_09.txt,www5.usp.br,23,187.16.220.3,232.35
2024-04-25_09.txt,www5.usp.br,24,143.107.249.38,228.44
2024-04-25_09.txt,www.ada.org,1,139.222.0.1,1.3
2024-04-25_09.txt,www.ada.org,2,10.0.0.1,7.58
2024-04-25_09.txt,www.ada.org,3,193.62.92.126,0.85
2024-04-25_09.txt,www.ada.org,4,10.11.2.2,1.19
2024-04-25_09.txt,www.ada.org,5,146.97.130.237,5.7
2024-04-25_09.txt,www.ada.org,6,146.97.35.217,7.06
2024-04-25_09.txt,www.ada.org,7,146.97.33.61,5.76
2024-04-25_09.txt,www.ada.org,8,146.97.35.194,5.64
2024-04-25_09.txt,www.ada.org,9,104.44.37.109,5.86
2024-04-25_09.txt,www.ada.org,10,104.44.230.148,6.19
2024-04-25_09.txt,www.ada.org,11,104.44.21.107,102.12
2024-04-25_09.txt,www.ada.org,12,104.44.16.57,124.78
2024-04-25_09.txt,www.ada.org,13,104.44.29.153,110.21
2024-04-25_09.txt,www.ada.org,14,104.44.17.128,101.64
2024-04-25_09.txt,www.ada.org,16,104.44.29.143,125.86
2024-04-25_09.txt,www.ada.org,17,104.44.7.145,125.49
2024-04-25_09.txt,www.ada.org,18,104.44.28.121,101.6
2024-04-25_09.txt,www.ada.org,22,104.44.7.216,124.75
2024-04-25_09.txt,www.president.pl,1,139.222.0.1,1.52
2024-04-25_09.txt,www.president.pl,2,10.0.0.1,6.73
2024-04-25_09.txt,www.president.pl,3,193.62.92.126,0.79
2024-04-25_09.txt,www.president.pl,4,10.11.2.2,1.01
2024-04-25_09.txt,www.president.pl,5,146.97.130.237,11.74
2024-04-25_09.txt,www.president.pl,6,146.97.35.217,5.75
2024-04-25_09.txt,www.president.pl,7,146.97.33.5,6.37
2024-04-25_09.txt,www.president.pl,8,146.97.33.22,9.94
2024-04-25_09.txt,www.president.pl,9,146.97.33.42,12.03
2024-04-25_09.txt,www.president.pl,10,146.97.35.190,12.34
2024-04-25_09.txt,www.president.pl,11,162.158.32.34,13.67
2024-04-25_09.txt,www.president.pl,12,162.158.32.45,45.87
2024-04-25_09.txt,www.president.pl,13,104.26.10.136,12.27
2024-04-25_10.txt,www.invest.gov.tr,1,139.222.0.1,1.83
2024-04-25_10.txt,www.invest.gov.tr,2,10.0.0.1,12.57
2024-04-25_10.txt,www.invest.gov.tr,3,193.62.92.126,1.0
2024-04-25_10.txt,www.invest.gov.tr,4,10.11.2.2,1.26
2024-04-25_10.txt,www.invest.gov.tr,5,146.97.130.237,5.89
2024-04-25_10.txt,www.invest.gov.tr,6,146.97.35.217,5.73
2024-04-25_10.txt,www.invest.gov.tr,7,146.97.33.5,8.68
2024-04-25_10.txt,www.invest.gov.tr,8,146.97.33.22,10.51
2024-04-25_10.txt,www.invest.gov.tr,9,146.97.33.42,12.08
2024-04-25_10.txt,www.invest.gov.tr,10,146.97.35.190,11.93
2024-04-25_10.txt,www.invest.gov.tr,11,162.158.32.34,14.66
2024-04-25_10.txt,www.invest.gov.tr,12,162.158.32.45,13.42
2024-04-25_10.txt,www.invest.gov.tr,13,172.67.171.208,12.15
2024-04-25_17.txt,www.theaustralian.com.au,1,139.222.0.1,1.41
2024-04-25_17.txt,www.theaustralian.com.au,2,10.0.0.1,6.97
2024-04-25_17.txt,www.theaustralian.com.au,3,193.62.92.126,0.9
2024-04-25_17.txt,www.theaustralian.com.au,4,10.11.2.2,1.21
2024-04-25_17.txt,www.theaustralian.com.au,5,146.97.130.237,5.78
2024-04-25_17.txt,www.theaustralian.com.au,6,146.97.35.217,24.25
2024-04-25_17.txt,www.theaustralian.com.au,7,146.97.33.61,6.1
2024-04-25_17.txt,www.theaustralian.com.au,8,146.97.35.170,6.28
2024-04-25_17.txt,www.theaustralian.com.au,9,195.66.224.168,6.76
2024-04-25_17.txt,www.fmprc.gov.cn,1,139.222.0.1,1.42
2024-04-25_17.txt,www.fmprc.gov.cn,2,10.0.0.1,5.31
2024-04-25_17.txt,www.fmprc.gov.cn,3,193.62.92.126,0.85
2024-04-25_17.txt,www.fmprc.gov.cn,4,10.11.2.2,0.99
2024-04-25_17.txt,www.fmprc.gov.cn,5,146.97.130.237,5.51
2024-04-25_17.txt,www.fmprc.gov.cn,6,146.97.35.217,6.11
2024-04-25_17.txt,www.fmprc.gov.cn,7,146.97.33.61,5.82
2024-04-25_17.txt,www.fmprc.gov.cn,8,146.97.35.194,5.54
2024-04-25_17.txt,www.fmprc.gov.cn,9,62.115.175.106,5.56
2024-04-25_17.txt,www.fmprc.gov.cn,10,62.115.138.168,7.35
2024-04-25_17.txt,www.fmprc.gov.cn,11,62.115.120.239,6.07
2024-04-25_17.txt,www.fmprc.gov.cn,12,62.115.161.119,6.36
2024-04-25_17.txt,www.iisc.ac.in,1,139.222.0.1,1.11
2024-04-25_17.txt,www.iisc.ac.in,2,10.0.0.1,8.77
2024-04-25_17.txt,www.iisc.ac.in,3,193.62.92.126,0.67
2024-04-25_17.txt,www.iisc.ac.in,4,10.11.2.2,0.91
2024-04-25_17.txt,www.iisc.ac.in,5,146.97.130.237,5.6
2024-04-25_17.txt,www.iisc.ac.in,6,146.97.35.217,5.61
2024-04-25_17.txt,www.iisc.ac.in,7,146.97.33.61,5.91
2024-04-25_17.txt,www.iisc.ac.in,8,146.97.35.194,5.46
2024-04-25_17.txt,www.iisc.ac.in,9,104.44.37.109,5.84
2024-04-25_17.txt,www.iisc.ac.in,10,51.10.6.150,9.16
